Open,High,Low,Close,Volume
775.0,775.0,767.0,775.0,5839289.0
775.0,775.0,767.0,767.0,5839289.0
778.0,778.0,770.0,778.0,3813681.0
781.0,781.0,775.0,775.0,7431867.0
792.0,792.0,777.0,792.0,6906071.0
781.0,781.0,770.0,770.0,11835353.0
775.0,775.0,750.0,775.0,6777484.0
769.0,769.0,756.0,756.0,5301083.0
772.0,772.0,767.0,772.0,7131662.0
775.0,775.0,768.0,768.0,7102386.0
790.0,790.0,770.0,790.0,3309179.0
780.0,780.0,771.0,771.0,4611481.0
776.0,776.0,760.0,776.0,17929030.0
780.0,780.0,771.0,771.0,5716394.0
781.0,781.0,777.0,781.0,5819886.0
779.0,779.0,775.0,775.0,10607288.0
782.0,782.0,777.0,782.0,9741646.0
784.0,784.0,776.0,776.0,8024707.0
790.0,790.0,779.0,790.0,9681667.0
785.0,785.0,780.0,780.0,10216347.0
784.0,784.0,775.0,784.0,9077408.0
785.0,785.0,781.0,781.0,4840872.0
788.0,788.0,782.0,788.0,4425270.0
788.0,788.0,781.0,781.0,7776326.0
796.0,796.0,787.0,796.0,8237900.0
795.0,795.0,784.0,784.0,7253945.0
795.0,795.0,789.0,795.0,10532439.0
800.0,800.0,795.0,795.0,7949617.0
803.0,803.0,796.0,803.0,8875676.0
805.0,805.0,800.0,800.0,9049631.0
805.0,805.0,800.0,805.0,7380782.0
805.0,805.0,800.0,800.0,8762095.0
805.0,805.0,798.0,805.0,8776221.0
808.0,808.0,796.0,796.0,13928301.0
811.0,811.0,800.0,811.0,9132402.0
815.0,815.0,805.0,805.0,14464085.0
810.0,810.0,802.0,810.0,10777123.0
819.0,819.0,803.0,803.0,15859921.0
810.0,810.0,800.0,810.0,15373045.0
820.0,820.0,808.0,808.0,12441575.0
814.0,814.0,800.0,814.0,14114496.0
838.0,838.0,792.0,792.0,20690486.0
833.0,833.0,799.0,833.0,24844803.0
827.0,827.0,820.0,820.0,3114375.0
824.0,824.0,813.0,824.0,7349011.0
815.0,815.0,801.0,801.0,8029610.0
806.0,806.0,786.0,806.0,9317059.0
790.0,790.0,785.0,785.0,3346218.0
805.0,805.0,790.0,805.0,5135732.0
800.0,800.0,795.0,795.0,8304199.0
799.0,799.0,775.0,799.0,6256691.0
785.0,785.0,775.0,775.0,7396723.0
785.0,785.0,780.0,785.0,6680735.0
806.0,806.0,785.0,785.0,22459703.0
815.0,815.0,799.0,815.0,10381928.0
810.0,810.0,802.0,802.0,6305130.0
810.0,810.0,800.0,810.0,3941709.0
808.0,808.0,802.0,802.0,2774340.0
820.0,820.0,804.0,820.0,4509094.0
814.0,814.0,805.0,805.0,3483762.0
829.0,829.0,803.0,829.0,2548422.0
816.0,816.0,806.0,806.0,6675233.0
816.0,816.0,807.0,816.0,8422115.0
822.0,822.0,813.0,813.0,11054441.0
834.0,834.0,818.0,834.0,8084710.0
823.0,823.0,815.0,815.0,7321965.0
826.0,826.0,820.0,826.0,6604807.0
842.0,842.0,820.0,820.0,3747090.0
832.0,832.0,826.0,832.0,4044107.0
843.0,843.0,829.0,829.0,3274335.0
835.0,835.0,830.0,835.0,2391215.0
848.0,848.0,832.0,832.0,5092634.0
882.0,882.0,847.0,882.0,7847192.0
840.0,840.0,837.0,837.0,2643739.0
844.0,844.0,830.0,844.0,2357557.0
840.0,840.0,835.0,835.0,2126755.0
857.0,857.0,835.0,857.0,4580200.0
845.0,845.0,835.0,835.0,4631903.0
856.0,856.0,835.0,856.0,1666961.0
840.0,840.0,827.0,827.0,3480164.0
849.0,849.0,830.0,849.0,4593487.0
855.0,855.0,831.0,831.0,5322545.0
858.0,858.0,845.0,858.0,5396030.0
860.0,860.0,844.0,844.0,4401510.0
850.0,850.0,837.0,850.0,3042368.0
855.0,855.0,841.0,841.0,2239367.0
845.0,845.0,831.0,845.0,2969502.0
862.0,862.0,838.0,838.0,2486583.0
